Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
562,"562.99237","Escherichia coli 721a5d32-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.58634","Escherichia coli strain PH20","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"CLSI",2015,,,,"Laboratory Method",,"27965630"
562,"562.97335","Escherichia coli VREC1450","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.42810","Escherichia coli strain M50","ciprofloxacin","Resistant","4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,
562,"562.42864","Escherichia coli strain MUGSI_313","ciprofloxacin","Resistant","8",">","8","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
562,"562.100715","Escherichia coli a3600b04-7bb8-11e9-a8d3-68b59976a384","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.23286","Escherichia coli O162:H10 strain ECO0933","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.23800","Escherichia coli O102:H6 strain ECO0753","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.100761","Escherichia coli 9df1b000-7bb8-11e9-a8d3-68b59976a384","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.97510","Escherichia coli VREC1254","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.23593","Escherichia coli O25:H4 strain ECO1165","ciprofloxacin","Resistant","32",,"32","mg/L","MIC",,,,,,,,,"Laboratory Method",,"38219757"
562,"562.23028","Escherichia coli O25:H4 strain ECO0655","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.97429","Escherichia coli VREC1555","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.23356","Escherichia coli O2:H4 strain ECO1121","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.100660","Escherichia coli 9f5d526e-7bb8-11e9-a8d3-68b59976a384","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.65813","Escherichia coli strain RS333","ciprofloxacin","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"27208899"
562,"562.96897","Escherichia coli VREC1015","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.97275","Escherichia coli VRES1497","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.65811","Escherichia coli strain RS254","ciprofloxacin","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"27208899"
562,"562.97245","Escherichia coli VRES1423","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.96789","Escherichia coli VRES0987","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.23410","Escherichia coli O25:H4 strain ECO1055","ciprofloxacin","Resistant","128",,"128","mg/L","MIC",,,,,,,,,"Laboratory Method",,"38219757"
562,"562.97277","Escherichia coli VRES1492","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.23287","Escherichia coli O1:H15 strain ECO0934","ciprofloxacin","Resistant","256",,"256","mg/L","MIC",,,,,,,,,"Laboratory Method",,"38219757"
562,"562.23351","Escherichia coli O25:H4 strain ECO1115","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.23899","Escherichia coli O25:H4 strain ECO1466","ciprofloxacin","Resistant","64",,"64","mg/L","MIC",,,,,,,,,"Laboratory Method",,"38219757"
562,"562.22746","Escherichia coli O21:H52 strain ECO0336","ciprofloxacin","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux",,,,,,"Laboratory Method",,"28720578"
562,"562.96710","Escherichia coli VRES0915","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.140869","Escherichia coli 013-E3-S02","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,"Hardy Diagnostics","CLSI",2015,,,,"Laboratory Method",,"31455657"
562,"562.100232","Escherichia coli c4c735ce-7bb8-11e9-a8d3-68b59976a384","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.96418","Escherichia coli VRES0691","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.57417","Escherichia coli strain W2_2_ERB4","ciprofloxacin","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"28877757;30550564"
562,"562.57183","Escherichia coli strain 24742_1#328","ciprofloxacin","Resistant",,,,,"Broth dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"30550564"
562,"562.23286","Escherichia coli O162:H10 strain ECO0933","ciprofloxacin","Resistant","256",,"256","mg/L","MIC",,,,,,,,,"Laboratory Method",,"38219757"
562,"562.23053","Escherichia coli O25:H4 strain ECO0687","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.97253","Escherichia coli VRES1428","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.135565","Escherichia coli MGL_82","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,"37549252"
562,"562.23458","Escherichia coli O25:H4 strain ECO1022","ciprofloxacin","Resistant","256",,"256","mg/L","MIC",,,,,,,,,"Laboratory Method",,"38219757"
562,"562.45598","Escherichia coli strain EC_94","ciprofloxacin","Resistant","10",,"10","mm","Disk diffusion",,,"Hardy Diagnostics","CLSI",2018,,,,"Laboratory Method",,"32010104"
562,"562.97487","Escherichia coli VREC1616","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.97323","Escherichia coli VREC1447","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.97492","Escherichia coli VRES1470","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.23393","Escherichia coli O25:H4 strain ECO1090","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
