Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
562,"562.57196","Escherichia coli strain 24742_1#337","trimethoprim","Resistant",,,,,"Broth dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"30550564"
562,"562.58725","Escherichia coli strain 14091902","trimethoprim","Resistant","64",,"64","mg/L","Broth dilution",,,,"EUCAST",,,,,"Laboratory Method",,"29951045"
562,"562.45631","Escherichia coli strain EC_50","trimethoprim/sulfamethoxazole","Resistant","6",,"6","mm","Disk diffusion",,,"Hardy Diagnostics","CLSI",2018,,,,"Laboratory Method",,"32010104"
562,"562.22802","Escherichia coli O8:H9 strain ECO0400","trimethoprim","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux",,,,,,"Laboratory Method",,"28720578"
562,"562.135592","Escherichia coli MGL_131","trimethoprim/sulfamethoxazole","Resistant",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,"37549252"
562,"562.57224","Escherichia coli strain 24742_1#182","trimethoprim","Resistant",,,,,"Broth dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"30550564"
562,"562.58791","Escherichia coli strain ENV704","trimethoprim","Resistant",">8",">","8","mg/L","Broth dilution",,,"Thermo Fisher Scientific","clsi",2013,,,,"Laboratory Method",,"29184361"
562,"562.57492","Escherichia coli strain PB239","trimethoprim","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"28877757;30550564"
562,"562.7689","Escherichia coli strain 202387","trimethoprim","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"30127495"
562,"562.7577","Escherichia coli strain 200708_aEPEC","trimethoprim","Resistant",">=16",">=","16","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"30127495"
562,"562.100605","Escherichia coli c4a1a916-7bb9-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Resistant",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.7730","Escherichia coli strain 100383_aEPEC","trimethoprim/sulfamethoxazole","Resistant",">=320",">=","320","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"30127495"
562,"562.22718","Escherichia coli O25:H4 strain ECO0304","trimethoprim","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux",,,,,,"Laboratory Method",,"28720578"
