genome_id,genome_name,antibiotic,phenotype,lab_method
562.65180,Escherichia coli strain AMC_512,ampicillin,Resistant,
562.22703,Escherichia coli O18:H7 strain ECO0293,ampicillin,Resistant,Broth dilution
562.100129,Escherichia coli 024bbfc8-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.42788,Escherichia coli strain M33,ampicillin,Resistant,Broth dilution
562.22640,Escherichia coli O8:H4 strain ECO0228,ampicillin,Resistant,Broth dilution
562.7654,Escherichia coli strain 402798,ampicillin,Resistant,Broth dilution
562.99237,Escherichia coli 721a5d32-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.100959,Escherichia coli 7a9b745a-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.99904,Escherichia coli b0426cbc-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.99825,Escherichia coli 92eafa40-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.99105,Escherichia coli e41fae88-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.100763,Escherichia coli 92b60484-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.99346,Escherichia coli 937d0286-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.98229,Escherichia coli b853bfce-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.7570,Escherichia coli strain 200456_aEPEC,ampicillin,Resistant,Broth dilution
562.65563,Escherichia coli strain AMC_629,ampicillin,Resistant,
562.65086,Escherichia coli strain AMC_245,ampicillin,Resistant,
562.22529,Escherichia coli O2:H18 strain ECO0104,ampicillin,Resistant,Broth dilution
562.97969,Escherichia coli 2e1cfac2-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.73372,Escherichia coli strain BB1441,ampicillin,Resistant,Disk diffusion
562.65265,Escherichia coli strain AMC_437,ampicillin,Resistant,
562.7668,Escherichia coli strain 402078,ampicillin,Resistant,Broth dilution
562.65739,Escherichia coli strain AMC_760,ampicillin,Resistant,
562.56792,Escherichia coli strain 463-16,ampicillin,Resistant,Disk diffusion
562.99558,Escherichia coli e3de954c-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.100704,Escherichia coli 90e6d6a6-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.97907,Escherichia coli e2f8c138-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.98808,Escherichia coli 7126d7de-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.57088,Escherichia coli strain 24742_1#5,ampicillin,Resistant,Broth dilution
562.57148,Escherichia coli strain 24742_1#100,ampicillin,Resistant,Broth dilution
562.42722,Escherichia coli strain 344,ampicillin,Resistant,Broth dilution
562.100014,Escherichia coli 8b1c8fea-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.65741,Escherichia coli strain AMC_222,ampicillin,Resistant,
562.7699,Escherichia coli strain 500618_aEPEC,ampicillin,Resistant,Broth dilution
562.98510,Escherichia coli b5faf0bc-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.7584,Escherichia coli strain 401938_aEPEC,ampicillin,Resistant,Broth dilution
562.57261,Escherichia coli strain 24742_1#213,ampicillin,Resistant,Broth dilution
562.99388,Escherichia coli e14b07ba-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.45610,Escherichia coli strain EC_80,ampicillin,Resistant,Disk diffusion
562.22582,Escherichia coli NA:H4 strain ECO0157,ampicillin,Resistant,Broth dilution
562.22436,Escherichia coli O166:H15 strain ECO0009,ampicillin,Resistant,Broth dilution
562.42833,Escherichia coli strain MUGSI_174,ampicillin,Resistant,Broth dilution
562.22521,Escherichia coli O166:H15 strain ECO0095,ampicillin,Resistant,Broth dilution
562.73378,Escherichia coli strain BB1431,ampicillin,Resistant,Disk diffusion
562.57188,Escherichia coli strain 24742_1#334,ampicillin,Resistant,Broth dilution
562.65253,Escherichia coli strain AMC_450,ampicillin,Resistant,
562.45615,Escherichia coli strain EC_27,ampicillin,Resistant,Disk diffusion
562.57316,Escherichia coli strain 24742_1#265,ampicillin,Resistant,Broth dilution
562.98278,Escherichia coli 8a2f5148-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.58711,Escherichia coli strain 14063820,ampicillin,Resistant,Broth dilution
562.144217,Escherichia coli ERR7221471,ampicillin,Resistant,Broth dilution
562.45848,Escherichia coli strain URMC_50,ampicillin,Resistant,Broth dilution
562.144209,Escherichia coli ERR2124250,ampicillin,Resistant,Broth dilution
562.99861,Escherichia coli f996fd98-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.64883,Escherichia coli strain AMC_934,ampicillin,Resistant,
562.22432,Escherichia coli O25:H4 strain ECO0005,ampicillin,Resistant,Broth dilution
562.99435,Escherichia coli 4c044fc2-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.42735,Escherichia coli strain 404,ampicillin,Resistant,Broth dilution
562.65677,Escherichia coli strain AMC_191,ampicillin,Resistant,
562.100540,Escherichia coli cc91f496-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.100707,Escherichia coli 97b41d86-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.144250,Escherichia coli ERR7221501,ampicillin,Resistant,Broth dilution
