genome_id,drug,phenotype
1328432.3,Ampicillin,S
1328432.3,Ciprofloxacin,S
562.100004,Ampicillin,S
562.100004,Ciprofloxacin,S
562.100007,Ampicillin,R
562.100007,Ciprofloxacin,S
562.100008,Ampicillin,R
562.100008,Ciprofloxacin,S
562.100010,Ampicillin,S
562.100010,Ciprofloxacin,S
562.100012,Ampicillin,S
562.100012,Ciprofloxacin,S
562.100014,Ampicillin,R
562.100014,Ciprofloxacin,R
562.100021,Ampicillin,S
562.100021,Ciprofloxacin,S
562.100023,Ampicillin,R
562.100023,Ciprofloxacin,R
562.100027,Ampicillin,R
562.100027,Ciprofloxacin,S
562.100035,Ampicillin,S
562.100035,Ciprofloxacin,S
562.100046,Ampicillin,S
562.100046,Ciprofloxacin,S
562.100047,Ampicillin,S
562.100047,Ciprofloxacin,S
562.100050,Ampicillin,R
562.100050,Ciprofloxacin,R
562.100052,Ampicillin,R
562.100052,Ciprofloxacin,S
562.100053,Ampicillin,S
562.100053,Ciprofloxacin,S
562.100064,Ampicillin,S
562.100064,Ciprofloxacin,S
562.100065,Ampicillin,S
562.100065,Ciprofloxacin,S
562.100070,Ampicillin,S
562.100070,Ciprofloxacin,S
562.100073,Ampicillin,R
562.100073,Ciprofloxacin,S
562.100074,Ampicillin,R
562.100085,Ampicillin,R
562.100085,Ciprofloxacin,S
562.100095,Ampicillin,S
562.100095,Ciprofloxacin,S
562.100100,Ampicillin,R
562.100100,Ciprofloxacin,S
562.100105,Ampicillin,S
562.100105,Ciprofloxacin,S
562.100111,Ampicillin,S
562.100111,Ciprofloxacin,S
562.100112,Ampicillin,S
562.100112,Ciprofloxacin,S
562.100117,Ampicillin,R
562.100117,Ciprofloxacin,R
562.100123,Ampicillin,R
562.100123,Ciprofloxacin,R
562.100124,Ampicillin,S
562.100124,Ciprofloxacin,R
562.100129,Ampicillin,R
562.100129,Ciprofloxacin,S
562.100132,Ampicillin,S
562.100132,Ciprofloxacin,S
562.100139,Ampicillin,R
562.100139,Ciprofloxacin,R
562.100144,Ampicillin,R
562.100144,Ciprofloxacin,S
562.100145,Ampicillin,R
562.100145,Ciprofloxacin,S
562.100158,Ampicillin,S
562.100158,Ciprofloxacin,S
562.100165,Ampicillin,R
562.100165,Ciprofloxacin,S
562.100166,Ampicillin,S
562.100166,Ciprofloxacin,S
562.100170,Ampicillin,R
562.100170,Ciprofloxacin,S
562.100178,Ampicillin,R
562.100178,Ciprofloxacin,S
562.100181,Ampicillin,S
562.100181,Ciprofloxacin,S
562.100183,Ampicillin,R
562.100183,Ciprofloxacin,R
562.100187,Ampicillin,S
562.100187,Ciprofloxacin,S
562.100190,Ampicillin,S
562.100190,Ciprofloxacin,S
562.100199,Ampicillin,S
562.100199,Ciprofloxacin,S
562.100200,Ampicillin,S
562.100200,Ciprofloxacin,S
562.100203,Ampicillin,S
562.100203,Ciprofloxacin,S
562.100205,Ampicillin,R
562.100205,Ciprofloxacin,R
562.100210,Ampicillin,S
562.100210,Ciprofloxacin,S
562.100212,Ampicillin,S
562.100212,Ciprofloxacin,S
562.100218,Ampicillin,R
562.100218,Ciprofloxacin,R
562.100221,Ampicillin,S
562.100221,Ciprofloxacin,S
562.100229,Ampicillin,S
562.100229,Ciprofloxacin,S
562.100242,Ampicillin,S
562.100242,Ciprofloxacin,S
562.100243,Ampicillin,S
562.100243,Ciprofloxacin,S
562.100252,Ampicillin,R
562.100252,Ciprofloxacin,S
562.100256,Ampicillin,R
562.100256,Ciprofloxacin,S
562.100263,Ampicillin,R
562.100263,Ciprofloxacin,R
562.100274,Ampicillin,S
562.100274,Ciprofloxacin,S
562.100276,Ampicillin,S
562.100276,Ciprofloxacin,S
562.100280,Ampicillin,S
562.100280,Ciprofloxacin,S
562.100284,Ampicillin,R
562.100284,Ciprofloxacin,S
562.100298,Ampicillin,S
562.100298,Ciprofloxacin,S
562.100302,Ampicillin,S
562.100302,Ciprofloxacin,S
562.100307,Ampicillin,S
562.100307,Ciprofloxacin,S
