genome_id,species,cluster_id
GEN-0001,Escherichia coli,CL-0000
GEN-0002,Escherichia coli,CL-0000
GEN-0003,Escherichia coli,CL-0000
GEN-0004,Escherichia coli,CL-0000
GEN-0005,Escherichia coli,CL-0000
GEN-0006,Escherichia coli,CL-0000
GEN-0007,Escherichia coli,CL-0000
GEN-0008,Escherichia coli,CL-0000
GEN-0009,Escherichia coli,CL-0001
GEN-0010,Escherichia coli,CL-0001
GEN-0011,Escherichia coli,CL-0001
GEN-0012,Escherichia coli,CL-0001
GEN-0013,Escherichia coli,CL-0001
GEN-0014,Escherichia coli,CL-0001
GEN-0015,Escherichia coli,CL-0001
GEN-0016,Escherichia coli,CL-0001
GEN-0017,Escherichia coli,CL-0001
GEN-0018,Escherichia coli,CL-0001
GEN-0019,Escherichia coli,CL-0002
GEN-0020,Escherichia coli,CL-0002
GEN-0021,Escherichia coli,CL-0002
GEN-0022,Escherichia coli,CL-0002
GEN-0023,Escherichia coli,CL-0002
GEN-0024,Escherichia coli,CL-0002
GEN-0025,Escherichia coli,CL-0002
GEN-0026,Escherichia coli,CL-0002
GEN-0027,Escherichia coli,CL-0003
GEN-0028,Escherichia coli,CL-0003
GEN-0029,Escherichia coli,CL-0003
GEN-0030,Escherichia coli,CL-0003
GEN-0031,Escherichia coli,CL-0003
GEN-0032,Escherichia coli,CL-0003
GEN-0033,Escherichia coli,CL-0003
GEN-0034,Escherichia coli,CL-0003
GEN-0035,Escherichia coli,CL-0003
GEN-0036,Escherichia coli,CL-0004
GEN-0037,Escherichia coli,CL-0004
GEN-0038,Escherichia coli,CL-0004
GEN-0039,Escherichia coli,CL-0004
GEN-0040,Escherichia coli,CL-0004
GEN-0041,Escherichia coli,CL-0004
GEN-0042,Escherichia coli,CL-0005
GEN-0043,Escherichia coli,CL-0005
GEN-0044,Escherichia coli,CL-0005
GEN-0045,Escherichia coli,CL-0005
GEN-0046,Escherichia coli,CL-0005
GEN-0047,Escherichia coli,CL-0005
GEN-0048,Escherichia coli,CL-0005
GEN-0049,Escherichia coli,CL-0005
GEN-0050,Escherichia coli,CL-0005
GEN-0051,Escherichia coli,CL-0005
GEN-0052,Escherichia coli,CL-0005
GEN-0053,Escherichia coli,CL-0005
GEN-0054,Escherichia coli,CL-0005
GEN-0055,Escherichia coli,CL-0005
GEN-0056,Escherichia coli,CL-0005
GEN-0057,Escherichia coli,CL-0005
GEN-0058,Escherichia coli,CL-0005
GEN-0059,Escherichia coli,CL-0005
GEN-0060,Escherichia coli,CL-0005
GEN-0061,Escherichia coli,CL-0005
GEN-0062,Escherichia coli,CL-0005
GEN-0063,Escherichia coli,CL-0005
GEN-0064,Escherichia coli,CL-0005
GEN-0065,Escherichia coli,CL-0005
GEN-0066,Escherichia coli,CL-0005
GEN-0067,Escherichia coli,CL-0005
GEN-0068,Escherichia coli,CL-0005
GEN-0069,Escherichia coli,CL-0005
GEN-0070,Escherichia coli,CL-0005
GEN-0071,Escherichia coli,CL-0005
GEN-0072,Escherichia coli,CL-0005
GEN-0073,Escherichia coli,CL-0005
GEN-0074,Escherichia coli,CL-0005
GEN-0075,Escherichia coli,CL-0005
GEN-0076,Escherichia coli,CL-0005
GEN-0077,Escherichia coli,CL-0005
GEN-0078,Escherichia coli,CL-0005
GEN-0079,Escherichia coli,CL-0005
GEN-0080,Escherichia coli,CL-0005
GEN-0081,Escherichia coli,CL-0005
GEN-0082,Escherichia coli,CL-0005
GEN-0083,Escherichia coli,CL-0005
GEN-0084,Escherichia coli,CL-0005
GEN-0085,Escherichia coli,CL-0005
GEN-0086,Escherichia coli,CL-0005
GEN-0087,Escherichia coli,CL-0005
GEN-0088,Escherichia coli,CL-0005
GEN-0089,Escherichia coli,CL-0005
GEN-0090,Escherichia coli,CL-0005
GEN-0091,Escherichia coli,CL-0005
GEN-0092,Escherichia coli,CL-0006
GEN-0093,Escherichia coli,CL-0006
GEN-0094,Escherichia coli,CL-0006
GEN-0095,Escherichia coli,CL-0006
GEN-0096,Escherichia coli,CL-0006
GEN-0097,Escherichia coli,CL-0006
GEN-0098,Escherichia coli,CL-0007
GEN-0099,Escherichia coli,CL-0007
GEN-0100,Escherichia coli,CL-0007
GEN-0101,Escherichia coli,CL-0007
GEN-0102,Escherichia coli,CL-0007
GEN-0103,Escherichia coli,CL-0007
GEN-0104,Escherichia coli,CL-0007
GEN-0105,Escherichia coli,CL-0007
GEN-0106,Escherichia coli,CL-0007
GEN-0107,Escherichia coli,CL-0007
GEN-0108,Escherichia coli,CL-0007
GEN-0109,Escherichia coli,CL-0007
GEN-0110,Escherichia coli,CL-0007
GEN-0111,Escherichia coli,CL-0007
GEN-0112,Escherichia coli,CL-0007
GEN-0113,Escherichia coli,CL-0007
GEN-0114,Escherichia coli,CL-0007
GEN-0115,Escherichia coli,CL-0007
GEN-0116,Escherichia coli,CL-0007
GEN-0117,Escherichia coli,CL-0007
GEN-0118,Escherichia coli,CL-0007
GEN-0119,Escherichia coli,CL-0007
GEN-0120,Escherichia coli,CL-0007
GEN-0121,Escherichia coli,CL-0007
GEN-0122,Escherichia coli,CL-0007
GEN-0123,Escherichia coli,CL-0007
GEN-0124,Escherichia coli,CL-0007
GEN-0125,Escherichia coli,CL-0007
GEN-0126,Escherichia coli,CL-0007
GEN-0127,Escherichia coli,CL-0007
GEN-0128,Escherichia coli,CL-0007
GEN-0129,Escherichia coli,CL-0007
GEN-0130,Escherichia coli,CL-0007
GEN-0131,Escherichia coli,CL-0007
GEN-0132,Escherichia coli,CL-0008
GEN-0133,Escherichia coli,CL-0008
GEN-0134,Escherichia coli,CL-0008
GEN-0135,Escherichia coli,CL-0008
GEN-0136,Escherichia coli,CL-0008
GEN-0137,Escherichia coli,CL-0008
GEN-0138,Escherichia coli,CL-0008
GEN-0139,Escherichia coli,CL-0008
GEN-0140,Escherichia coli,CL-0009
GEN-0141,Escherichia coli,CL-0009
GEN-0142,Escherichia coli,CL-0009
GEN-0143,Escherichia coli,CL-0009
GEN-0144,Escherichia coli,CL-0009
GEN-0145,Escherichia coli,CL-0009
GEN-0146,Escherichia coli,CL-0010
GEN-0147,Escherichia coli,CL-0010
GEN-0148,Escherichia coli,CL-0010
GEN-0149,Escherichia coli,CL-0010
GEN-0150,Escherichia coli,CL-0010
GEN-0151,Escherichia coli,CL-0010
GEN-0152,Escherichia coli,CL-0010
GEN-0153,Escherichia coli,CL-0011
GEN-0154,Escherichia coli,CL-0011
GEN-0155,Escherichia coli,CL-0011
GEN-0156,Escherichia coli,CL-0011
GEN-0157,Escherichia coli,CL-0011
GEN-0158,Escherichia coli,CL-0011
GEN-0159,Escherichia coli,CL-0012
GEN-0160,Escherichia coli,CL-0012
GEN-0161,Escherichia coli,CL-0012
GEN-0162,Escherichia coli,CL-0012
GEN-0163,Escherichia coli,CL-0012
GEN-0164,Escherichia coli,CL-0012
GEN-0165,Escherichia coli,CL-0012
GEN-0166,Escherichia coli,CL-0012
GEN-0167,Escherichia coli,CL-0012
GEN-0168,Escherichia coli,CL-0012
GEN-0169,Escherichia coli,CL-0013
GEN-0170,Escherichia coli,CL-0013
GEN-0171,Escherichia coli,CL-0013
GEN-0172,Escherichia coli,CL-0013
GEN-0173,Escherichia coli,CL-0013
GEN-0174,Escherichia coli,CL-0013
GEN-0175,Escherichia coli,CL-0013
GEN-0176,Escherichia coli,CL-0013
GEN-0177,Escherichia coli,CL-0013
GEN-0178,Escherichia coli,CL-0013
GEN-0179,Escherichia coli,CL-0013
GEN-0180,Escherichia coli,CL-0014
GEN-0181,Escherichia coli,CL-0014
GEN-0182,Escherichia coli,CL-0014
GEN-0183,Escherichia coli,CL-0014
GEN-0184,Escherichia coli,CL-0014
GEN-0185,Escherichia coli,CL-0014
GEN-0186,Escherichia coli,CL-0014
GEN-0187,Escherichia coli,CL-0014
GEN-0188,Escherichia coli,CL-0014
GEN-0189,Escherichia coli,CL-0014
GEN-0190,Escherichia coli,CL-0014
GEN-0191,Escherichia coli,CL-0014
GEN-0192,Escherichia coli,CL-0014
GEN-0193,Escherichia coli,CL-0014
GEN-0194,Escherichia coli,CL-0014
GEN-0195,Escherichia coli,CL-0014
GEN-0196,Escherichia coli,CL-0014
GEN-0197,Escherichia coli,CL-0014
GEN-0198,Escherichia coli,CL-0015
GEN-0199,Escherichia coli,CL-0015
GEN-0200,Escherichia coli,CL-0015
GEN-0201,Escherichia coli,CL-0015
GEN-0202,Escherichia coli,CL-0015
GEN-0203,Escherichia coli,CL-0015
GEN-0204,Escherichia coli,CL-0016
GEN-0205,Escherichia coli,CL-0016
GEN-0206,Escherichia coli,CL-0016
GEN-0207,Escherichia coli,CL-0016
GEN-0208,Escherichia coli,CL-0016
GEN-0209,Escherichia coli,CL-0016
GEN-0210,Escherichia coli,CL-0016
GEN-0211,Escherichia coli,CL-0016
GEN-0212,Escherichia coli,CL-0016
GEN-0213,Escherichia coli,CL-0016
GEN-0214,Escherichia coli,CL-0016
GEN-0215,Escherichia coli,CL-0016
GEN-0216,Escherichia coli,CL-0016
