genome_id,drug,phenotype,mic
GEN-0001,Ceftriaxone,S,0.12
GEN-0001,Ciprofloxacin,R,64.0
GEN-0001,Gentamicin,S,0.12
GEN-0001,Meropenem,S,0.03
GEN-0002,Ceftriaxone,R,16.0
GEN-0002,Ciprofloxacin,S,0.03
GEN-0002,Gentamicin,S,0.03
GEN-0002,Meropenem,S,0.25
GEN-0003,Ceftriaxone,S,0.25
GEN-0003,Ciprofloxacin,R,32.0
GEN-0003,Gentamicin,S,0.06
GEN-0004,Ceftriaxone,S,0.03
GEN-0004,Ciprofloxacin,R,32.0
GEN-0004,Gentamicin,S,0.12
GEN-0004,Meropenem,S,0.03
GEN-0005,Ciprofloxacin,S,0.12
GEN-0005,Gentamicin,S,0.06
GEN-0006,Ceftriaxone,S,0.12
GEN-0006,Meropenem,S,0.12
GEN-0007,Ciprofloxacin,R,16.0
GEN-0007,Gentamicin,S,0.25
GEN-0008,Ciprofloxacin,R,16.0
GEN-0008,Gentamicin,S,0.12
GEN-0008,Meropenem,S,0.06
GEN-0009,Ceftriaxone,R,16.0
GEN-0009,Ciprofloxacin,S,0.25
GEN-0009,Gentamicin,S,0.12
GEN-0009,Meropenem,S,0.03
GEN-0010,Ceftriaxone,R,32.0
GEN-0010,Ciprofloxacin,S,0.06
GEN-0010,Gentamicin,S,0.03
GEN-0010,Meropenem,S,0.03
GEN-0011,Ceftriaxone,R,64.0
GEN-0011,Ciprofloxacin,S,0.06
GEN-0011,Gentamicin,S,0.03
GEN-0011,Meropenem,S,0.03
GEN-0012,Ceftriaxone,R,16.0
GEN-0012,Ciprofloxacin,S,0.03
GEN-0012,Gentamicin,S,0.03
GEN-0012,Meropenem,S,0.12
GEN-0013,Ceftriaxone,R,64.0
GEN-0013,Ciprofloxacin,S,0.25
GEN-0013,Gentamicin,S,0.03
GEN-0014,Ceftriaxone,R,16.0
GEN-0014,Ciprofloxacin,S,0.03
GEN-0014,Meropenem,S,0.03
GEN-0015,Ceftriaxone,R,8.0
GEN-0015,Ciprofloxacin,S,0.12
GEN-0015,Gentamicin,S,0.12
GEN-0015,Meropenem,S,0.25
GEN-0016,Ceftriaxone,R,8.0
GEN-0016,Ciprofloxacin,S,0.03
GEN-0016,Meropenem,S,0.12
GEN-0017,Ceftriaxone,R,32.0
GEN-0017,Ciprofloxacin,S,0.25
GEN-0017,Gentamicin,S,0.03
GEN-0017,Meropenem,S,0.06
GEN-0018,Ceftriaxone,R,32.0
GEN-0018,Ciprofloxacin,S,0.06
GEN-0018,Gentamicin,S,0.06
GEN-0018,Meropenem,S,0.03
GEN-0019,Ceftriaxone,R,16.0
GEN-0019,Ciprofloxacin,R,8.0
GEN-0019,Gentamicin,R,64.0
GEN-0019,Meropenem,S,0.03
GEN-0020,Ceftriaxone,R,16.0
GEN-0020,Gentamicin,S,0.12
GEN-0020,Meropenem,S,0.06
GEN-0021,Ceftriaxone,R,32.0
GEN-0021,Ciprofloxacin,R,8.0
GEN-0021,Gentamicin,S,0.25
GEN-0022,Ceftriaxone,R,16.0
GEN-0022,Ciprofloxacin,R,16.0
GEN-0022,Gentamicin,S,0.12
GEN-0022,Meropenem,S,0.12
GEN-0023,Ceftriaxone,S,0.25
GEN-0023,Ciprofloxacin,R,32.0
GEN-0023,Gentamicin,S,0.06
GEN-0024,Ceftriaxone,R,16.0
GEN-0024,Ciprofloxacin,S,0.12
GEN-0025,Ceftriaxone,R,16.0
GEN-0025,Ciprofloxacin,R,8.0
GEN-0025,Gentamicin,S,0.03
GEN-0025,Meropenem,S,0.06
GEN-0026,Ciprofloxacin,R,16.0
GEN-0026,Gentamicin,S,0.03
GEN-0027,Gentamicin,R,32.0
GEN-0028,Gentamicin,R,8.0
GEN-0029,Ciprofloxacin,R,8.0
GEN-0029,Gentamicin,R,64.0
GEN-0030,Ciprofloxacin,R,32.0
GEN-0030,Gentamicin,R,8.0
GEN-0032,Ciprofloxacin,R,8.0
GEN-0032,Gentamicin,R,32.0
GEN-0033,Gentamicin,R,8.0
GEN-0034,Ciprofloxacin,R,32.0
GEN-0034,Gentamicin,R,32.0
GEN-0035,Ciprofloxacin,R,32.0
GEN-0036,Ceftriaxone,S,0.12
GEN-0036,Ciprofloxacin,S,0.06
GEN-0036,Gentamicin,S,0.12
GEN-0036,Meropenem,S,0.03
GEN-0037,Ceftriaxone,S,0.06
GEN-0037,Ciprofloxacin,S,0.03
GEN-0037,Gentamicin,S,0.03
GEN-0038,Ceftriaxone,S,0.25
GEN-0038,Ciprofloxacin,R,16.0
GEN-0038,Meropenem,S,0.12
GEN-0039,Ceftriaxone,S,0.12
GEN-0039,Ciprofloxacin,R,32.0
GEN-0039,Gentamicin,S,0.03
GEN-0039,Meropenem,S,0.12
GEN-0040,Ceftriaxone,S,0.12
GEN-0040,Gentamicin,S,0.03
GEN-0040,Meropenem,S,0.12
GEN-0041,Ceftriaxone,S,0.03
GEN-0041,Ciprofloxacin,R,8.0
GEN-0041,Meropenem,R,8.0
GEN-0042,Ciprofloxacin,S,0.25
GEN-0042,Gentamicin,S,0.25
GEN-0042,Meropenem,S,0.25
GEN-0043,Ceftriaxone,R,16.0
GEN-0043,Ciprofloxacin,S,0.25
GEN-0043,Gentamicin,S,0.12
GEN-0043,Meropenem,R,8.0
GEN-0044,Ceftriaxone,S,0.25
GEN-0044,Ciprofloxacin,S,0.12
GEN-0044,Gentamicin,S,0.06
GEN-0044,Meropenem,S,0.03
GEN-0045,Ceftriaxone,S,0.03
GEN-0045,Ciprofloxacin,S,0.25
GEN-0045,Gentamicin,S,0.25
GEN-0045,Meropenem,S,0.12
GEN-0046,Ceftriaxone,S,0.06
GEN-0046,Ciprofloxacin,S,0.25
GEN-0046,Gentamicin,S,0.12
GEN-0046,Meropenem,S,0.25
GEN-0047,Ceftriaxone,S,0.06
GEN-0047,Ciprofloxacin,S,0.06
GEN-0047,Gentamicin,S,0.06
GEN-0047,Meropenem,S,0.12
GEN-0048,Ceftriaxone,S,0.12
GEN-0048,Gentamicin,S,0.25
GEN-0049,Ceftriaxone,R,8.0
GEN-0049,Gentamicin,S,0.06
GEN-0049,Meropenem,S,0.03
GEN-0050,Ciprofloxacin,S,0.03
GEN-0050,Gentamicin,S,0.25
GEN-0051,Ceftriaxone,S,0.12
GEN-0051,Ciprofloxacin,S,0.03
GEN-0052,Ceftriaxone,S,0.12
GEN-0052,Ciprofloxacin,S,0.06
GEN-0052,Meropenem,S,0.12
GEN-0053,Ceftriaxone,S,0.03
GEN-0053,Gentamicin,S,0.03
GEN-0053,Meropenem,S,0.03
GEN-0054,Ciprofloxacin,S,0.03
GEN-0054,Gentamicin,R,8.0
GEN-0055,Ceftriaxone,S,0.03
GEN-0055,Ciprofloxacin,S,0.25
GEN-0055,Meropenem,R,8.0
GEN-0056,Gentamicin,S,0.12
GEN-0056,Meropenem,R,16.0
GEN-0057,Ciprofloxacin,S,0.06
GEN-0057,Meropenem,S,0.06
GEN-0058,Ceftriaxone,S,0.03
GEN-0058,Ciprofloxacin,S,0.25
GEN-0058,Gentamicin,S,0.12
GEN-0058,Meropenem,S,0.12
GEN-0059,Ceftriaxone,R,32.0
GEN-0059,Ciprofloxacin,S,0.12
GEN-0059,Gentamicin,S,0.25
GEN-0059,Meropenem,R,8.0
GEN-0060,Ceftriaxone,S,0.25
GEN-0060,Ciprofloxacin,S,0.12
GEN-0060,Meropenem,S,0.03
GEN-0061,Ceftriaxone,S,0.03
GEN-0061,Ciprofloxacin,S,0.03
GEN-0061,Gentamicin,S,0.06
GEN-0061,Meropenem,S,0.03
GEN-0062,Ciprofloxacin,S,0.25
GEN-0062,Gentamicin,S,0.06
GEN-0063,Ceftriaxone,S,0.03
GEN-0063,Ciprofloxacin,R,16.0
GEN-0063,Gentamicin,S,0.25
GEN-0063,Meropenem,S,0.25
GEN-0064,Ciprofloxacin,S,0.06
GEN-0064,Gentamicin,S,0.03
GEN-0064,Meropenem,S,0.12
GEN-0065,Ceftriaxone,S,0.06
GEN-0065,Gentamicin,S,0.03
GEN-0065,Meropenem,S,0.12
GEN-0066,Ciprofloxacin,S,0.03
GEN-0066,Gentamicin,S,0.12
GEN-0066,Meropenem,R,16.0
GEN-0067,Ceftriaxone,S,0.25
GEN-0067,Ciprofloxacin,S,0.03
GEN-0067,Gentamicin,S,0.03
GEN-0068,Ceftriaxone,S,0.03
GEN-0068,Ciprofloxacin,S,0.12
GEN-0068,Gentamicin,S,0.25
GEN-0068,Meropenem,S,0.03
GEN-0069,Ceftriaxone,S,0.03
GEN-0069,Ciprofloxacin,S,0.12
GEN-0069,Gentamicin,S,0.12
GEN-0070,Ceftriaxone,S,0.12
GEN-0070,Ciprofloxacin,S,0.12
GEN-0070,Gentamicin,S,0.06
GEN-0070,Meropenem,S,0.12
GEN-0071,Ceftriaxone,S,0.03
GEN-0071,Gentamicin,S,0.06
GEN-0071,Meropenem,R,8.0
GEN-0072,Ceftriaxone,S,0.12
GEN-0072,Ciprofloxacin,S,0.25
GEN-0072,Gentamicin,S,0.12
GEN-0072,Meropenem,S,0.03
GEN-0073,Ceftriaxone,S,0.12
GEN-0073,Ciprofloxacin,S,0.03
GEN-0073,Meropenem,S,0.12
GEN-0074,Ceftriaxone,S,0.03
GEN-0074,Ciprofloxacin,S,0.06
GEN-0074,Gentamicin,S,0.25
GEN-0074,Meropenem,S,0.25
GEN-0075,Ceftriaxone,S,0.06
GEN-0076,Ceftriaxone,S,0.25
GEN-0076,Ciprofloxacin,S,0.25
GEN-0076,Gentamicin,S,0.06
GEN-0076,Meropenem,S,0.06
GEN-0077,Ceftriaxone,S,0.03
GEN-0077,Ciprofloxacin,S,0.06
GEN-0077,Gentamicin,S,0.12
GEN-0078,Ceftriaxone,S,0.06
GEN-0078,Ciprofloxacin,S,0.25
GEN-0078,Gentamicin,S,0.06
GEN-0078,Meropenem,S,0.12
GEN-0079,Ceftriaxone,S,0.12
GEN-0079,Ciprofloxacin,S,0.25
GEN-0079,Gentamicin,S,0.25
GEN-0080,Ceftriaxone,S,0.03
GEN-0080,Ciprofloxacin,S,0.12
GEN-0080,Gentamicin,S,0.12
GEN-0080,Meropenem,S,0.25
GEN-0081,Ceftriaxone,S,0.03
GEN-0081,Gentamicin,S,0.06
GEN-0082,Ceftriaxone,S,0.03
GEN-0082,Ciprofloxacin,S,0.12
GEN-0082,Gentamicin,S,0.06
GEN-0082,Meropenem,S,0.12
GEN-0083,Ceftriaxone,S,0.06
GEN-0083,Ciprofloxacin,S,0.06
GEN-0083,Gentamicin,S,0.25
GEN-0083,Meropenem,S,0.25
GEN-0084,Ceftriaxone,S,0.12
GEN-0084,Gentamicin,R,64.0
GEN-0084,Meropenem,S,0.25
GEN-0085,Ceftriaxone,S,0.03
GEN-0085,Ciprofloxacin,S,0.12
GEN-0085,Gentamicin,S,0.25
GEN-0085,Meropenem,S,0.12
GEN-0086,Ceftriaxone,S,0.03
GEN-0086,Ciprofloxacin,R,32.0
GEN-0086,Gentamicin,S,0.25
GEN-0086,Meropenem,S,0.25
GEN-0087,Gentamicin,S,0.06
GEN-0087,Meropenem,S,0.25
GEN-0088,Ciprofloxacin,S,0.12
GEN-0088,Gentamicin,S,0.06
GEN-0088,Meropenem,S,0.06
GEN-0089,Ciprofloxacin,S,0.03
GEN-0089,Gentamicin,S,0.25
GEN-0090,Ceftriaxone,S,0.25
GEN-0090,Gentamicin,S,0.25
GEN-0090,Meropenem,S,0.25
GEN-0091,Ceftriaxone,S,0.25
GEN-0091,Ciprofloxacin,S,0.12
GEN-0091,Gentamicin,R,32.0
GEN-0091,Meropenem,S,0.06
GEN-0092,Ceftriaxone,R,8.0
GEN-0092,Gentamicin,S,0.25
GEN-0092,Meropenem,S,0.25
GEN-0093,Ceftriaxone,R,16.0
GEN-0093,Gentamicin,S,0.03
GEN-0093,Meropenem,S,0.03
GEN-0094,Gentamicin,S,0.06
GEN-0094,Meropenem,S,0.03
GEN-0095,Ceftriaxone,R,32.0
