genome_id,cluster_id
562.100145,CL-0000
562.100221,CL-0001
562.100414,CL-0002
562.100424,CL-0003
562.100433,CL-0004
562.100508,CL-0005
562.100602,CL-0006
562.100772,CL-0007
562.100804,CL-0002
562.100809,CL-0008
562.135580,CL-0009
562.135591,CL-0010
562.144970,CL-0011
562.144982,CL-0012
562.145029,CL-0013
562.145032,CL-0014
562.145037,CL-0015
562.145051,CL-0016
562.145067,CL-0017
562.145427,CL-0018
562.20499,CL-0019
562.22436,CL-0020
562.22499,CL-0021
562.22506,CL-0022
562.22526,CL-0023
562.22532,CL-0024
562.22533,CL-0023
562.22551,CL-0021
562.22554,CL-0025
562.22557,CL-0026
562.22564,CL-0026
562.22578,CL-0027
562.22582,CL-0021
562.22614,CL-0028
562.22643,CL-0029
562.22654,CL-0030
562.22668,CL-0026
562.22676,CL-0031
562.22679,CL-0032
562.22688,CL-0033
562.22702,CL-0034
562.22710,CL-0035
562.22759,CL-0036
562.22768,CL-0021
562.22807,CL-0037
562.22827,CL-0038
562.22876,CL-0039
562.22901,CL-0040
562.23096,CL-0021
562.23320,CL-0041
562.23597,CL-0036
562.23673,CL-0042
562.42671,CL-0043
562.42703,CL-0044
562.42722,CL-0045
562.42730,CL-0046
562.42829,CL-0021
562.42870,CL-0047
562.56792,CL-0048
562.56876,CL-0049
562.57080,CL-0050
562.57114,CL-0051
562.57142,CL-0052
562.57219,CL-0053
562.57260,CL-0054
562.57331,CL-0055
562.57416,CL-0056
562.57445,CL-0057
562.57467,CL-0058
562.57469,CL-0031
562.58727,CL-0059
562.58733,CL-0060
562.58771,CL-0061
562.64826,CL-0062
562.64873,CL-0063
562.65075,CL-0064
562.65136,CL-0065
562.65200,CL-0026
562.65296,CL-0040
562.65556,CL-0026
562.73352,CL-0066
562.7571,CL-0067
562.7576,CL-0068
562.7624,CL-0069
562.7724,CL-0070
562.7738,CL-0071
562.7739,CL-0072
562.7756,CL-0073
562.96564,CL-0074
562.96742,CL-0075
562.96801,CL-0076
562.97251,CL-0077
562.97264,CL-0078
562.97340,CL-0079
562.97471,CL-0080
562.97782,CL-0081
562.97789,CL-0082
562.97821,CL-0083
562.97875,CL-0084
562.97929,CL-0002
562.97930,CL-0002
562.97935,CL-0085
562.97939,CL-0086
562.98346,CL-0087
562.98448,CL-0088
562.98466,CL-0089
562.98504,CL-0090
562.98676,CL-0091
562.98679,CL-0092
562.98715,CL-0093
562.98759,CL-0094
562.98786,CL-0095
562.99044,CL-0096
562.99055,CL-0097
562.99126,CL-0098
562.99566,CL-0026
562.99660,CL-0099
562.99773,CL-0100
562.99846,CL-0101
