Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
562,"562.100003","Escherichia coli c1b4da3e-7bb9-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.98533","Escherichia coli b1fffa20-7bb8-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,
562,"562.144982","Escherichia coli PT_EC0224","trimethoprim","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",2021,,,,"Laboratory Method",,"36363724"
562,"562.98595","Escherichia coli 51c41fbe-7bb9-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,
562,"562.100719","Escherichia coli 98948d12-7bb8-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.100604","Escherichia coli c3045608-7bb9-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.22626","Escherichia coli O25:H4 strain ECO0211","trimethoprim","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux",,,,,,"Laboratory Method",,"28720578"
562,"562.98160","Escherichia coli 862af85e-7bb9-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,"E-test",,,,,,,"Laboratory Method",,
562,"562.99291","Escherichia coli cc36dd46-7bb8-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.22550","Escherichia coli O1:H7 strain ECO0125","trimethoprim","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux",,,,,,"Laboratory Method",,"28720578"
562,"562.98478","Escherichia coli 9c6a7856-7bb9-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,
562,"562.99923","Escherichia coli 3b3d4e64-7bb9-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.57100","Escherichia coli strain 24742_1#282","trimethoprim","Susceptible",,,,,"Broth dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"30550564"
562,"562.100380","Escherichia coli 93410868-7bb8-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.100517","Escherichia coli bee80920-7bb9-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.100396","Escherichia coli 96a59e10-7bb8-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.98838","Escherichia coli 84ce2a22-7bb8-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,
562,"562.100626","Escherichia coli 200a4a48-7bb9-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.100485","Escherichia coli ea9545d4-7bb8-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.100129","Escherichia coli 024bbfc8-7bb9-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.100469","Escherichia coli f17f2c8e-7bb8-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.98174","Escherichia coli 3455eab6-7bb9-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,"E-test",,,,,,,"Laboratory Method",,
562,"562.97768","Escherichia coli cf58c6b0-7bb8-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,"E-test",,,,,,,"Laboratory Method",,
562,"562.98659","Escherichia coli d9dd8e9a-7bb8-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,
562,"562.98719","Escherichia coli ab7a321a-7bb8-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,
562,"562.145022","Escherichia coli PT_EC0153","trimethoprim","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",2021,,,,"Laboratory Method",,"36363724"
562,"562.57400","Escherichia coli strain W2_10_ERB1","trimethoprim","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"28877757;30550564"
562,"562.99723","Escherichia coli 5c6fcea4-7bb9-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.99733","Escherichia coli ab4138c4-7bb9-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.100650","Escherichia coli 9ebd2848-7bb8-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.98590","Escherichia coli 30b73f2c-7bb9-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,
562,"562.98327","Escherichia coli 754212a2-7bb9-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,
562,"562.144963","Escherichia coli PT_EC0146","trimethoprim","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",2021,,,,"Laboratory Method",,"36363724"
562,"562.100687","Escherichia coli 9b985cc8-7bb8-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.100825","Escherichia coli fc34cbb6-7bb8-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.100835","Escherichia coli f4fa6f9a-7bb8-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.57223","Escherichia coli strain 24742_1#181","trimethoprim","Susceptible",,,,,"Broth dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"30550564"
562,"562.140895","Escherichia coli 006-E1-S06","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,"Hardy Diagnostics","CLSI",2015,,,,"Laboratory Method",,"31455657"
562,"562.7713","Escherichia coli strain 702328","trimethoprim","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"30127495"
562,"562.100472","Escherichia coli fbe6b016-7bb8-11e9-a8d3-68b59976a384","trimethoprim/sulfamethoxazole","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
