genome_id,species,cluster_id
1328432.3,Escherichia coli,ST-2569
562.100004,Escherichia coli,ST-58
562.100007,Escherichia coli,ST-69
562.100008,Escherichia coli,ST-95
562.100010,Escherichia coli,ST-127
562.100012,Escherichia coli,ST-73
562.100014,Escherichia coli,ST-4598
562.100021,Escherichia coli,ST-1304
562.100023,Escherichia coli,ST-131
562.100027,Escherichia coli,ST-1723
562.100035,Escherichia coli,ST-357
562.100046,Escherichia coli,ST-67
562.100047,Escherichia coli,ST-131
562.100050,Escherichia coli,ST-405
562.100052,Escherichia coli,ST-10
562.100053,Escherichia coli,ST-73
562.100064,Escherichia coli,ST-73
562.100065,Escherichia coli,ST-154
562.100070,Escherichia coli,ST-131
562.100073,Escherichia coli,ST-23
562.100074,Escherichia coli,ST-14
562.100085,Escherichia coli,ST-131
562.100095,Escherichia coli,ST-349
562.100100,Escherichia coli,ST-73
562.100105,Escherichia coli,ST-95
562.100111,Escherichia coli,ST-141
562.100112,Escherichia coli,ST-117
562.100117,Escherichia coli,ST-1193
562.100123,Escherichia coli,ST-162
562.100124,Escherichia coli,ST-95
562.100129,Escherichia coli,ST-73
562.100132,Escherichia coli,ST-73
562.100139,Escherichia coli,ST-73
562.100144,Escherichia coli,ST-58
562.100145,Escherichia coli,ST-10285
562.100158,Escherichia coli,ST-59
562.100165,Escherichia coli,ST-73
562.100166,Escherichia coli,ST-95
562.100170,Escherichia coli,ST-69
562.100178,Escherichia coli,ST-973
562.100181,Escherichia coli,ST-127
562.100183,Escherichia coli,ST-131
562.100187,Escherichia coli,ST-144
562.100190,Escherichia coli,ST-95
562.100199,Escherichia coli,ST-73
562.100200,Escherichia coli,ST-73
562.100203,Escherichia coli,ST-372
562.100205,Escherichia coli,ST-131
562.100210,Escherichia coli,ST-73
562.100212,Escherichia coli,ST-69
562.100218,Escherichia coli,ST-131
562.100221,Escherichia coli,ST-127
562.100229,Escherichia coli,ST-7303
562.100242,Escherichia coli,ST-62
562.100243,Escherichia coli,ST-73
562.100252,Escherichia coli,ST-38
562.100256,Escherichia coli,ST-12
562.100263,Escherichia coli,ST-44
562.100274,Escherichia coli,ST-567
562.100276,Escherichia coli,ST-127
562.100280,Escherichia coli,ST-126
562.100284,Escherichia coli,ST-95
562.100298,Escherichia coli,ST-136
562.100302,Escherichia coli,ST-978
562.100307,Escherichia coli,ST-141
562.100308,Escherichia coli,ST-83
562.100317,Escherichia coli,ST-69
562.100324,Escherichia coli,ST-685
562.100329,Escherichia coli,ST-144
562.100331,Escherichia coli,ST-131
562.100335,Escherichia coli,ST-69
562.100344,Escherichia coli,ST-224
562.100356,Escherichia coli,ST-62
562.100359,Escherichia coli,ST-12
562.100361,Escherichia coli,ST-131
562.100376,Escherichia coli,ST-646
562.100378,Escherichia coli,ST-141
562.100391,Escherichia coli,ST-95
562.100393,Escherichia coli,ST-69
562.100394,Escherichia coli,ST-88
562.100399,Escherichia coli,ST-131
562.100404,Escherichia coli,ST-73
562.100412,Escherichia coli,ST-10
562.100414,Escherichia coli,ST-73
562.100419,Escherichia coli,ST-95
562.100424,Escherichia coli,ST-69
562.100425,Escherichia coli,ST-1236
562.100433,Escherichia coli,ST-69
562.100434,Escherichia coli,ST-95
562.100438,Escherichia coli,ST-69
562.100441,Escherichia coli,ST-141
562.100445,Escherichia coli,ST-1193
562.100453,Escherichia coli,ST-783
562.100454,Escherichia coli,ST-12
562.100462,Escherichia coli,ST-409
562.100469,Escherichia coli,ST-372
562.100479,Escherichia coli,ST-69
562.100483,Escherichia coli,ST-131
562.100484,Escherichia coli,ST-3057
562.100487,Escherichia coli,ST-2619
562.100490,Escherichia coli,ST-58
562.100491,Escherichia coli,ST-12
562.100496,Escherichia coli,ST-73
562.100500,Escherichia coli,ST-73
562.100506,Escherichia coli,ST-393
562.100508,Escherichia coli,ST-362
562.100511,Escherichia coli,ST-1147
562.100514,Escherichia coli,ST-117
562.100516,Escherichia coli,ST-362
562.100520,Escherichia coli,ST-127
562.100527,Escherichia coli,ST-428
562.100530,Escherichia coli,ST-69
562.100535,Escherichia coli,ST-127
562.100540,Escherichia coli,ST-224
562.100546,Escherichia coli,ST-69
562.100550,Escherichia coli,ST-73
562.100552,Escherichia coli,ST-550
562.100556,Escherichia coli,ST-2178
562.100562,Escherichia coli,ST-73
562.100567,Escherichia coli,ST-2998
562.100578,Escherichia coli,ST-421
562.100581,Escherichia coli,ST-127
562.100588,Escherichia coli,ST-12
562.100601,Escherichia coli,ST-141
562.100602,Escherichia coli,ST-141
562.100604,Escherichia coli,ST-95
562.100605,Escherichia coli,ST-131
562.100606,Escherichia coli,ST-95
562.100612,Escherichia coli,ST-10256
562.100615,Escherichia coli,ST-69
562.100625,Escherichia coli,ST-69
562.100627,Escherichia coli,ST-73
562.100628,Escherichia coli,ST-69
562.100631,Escherichia coli,ST-131
562.100651,Escherichia coli,ST-348
562.100653,Escherichia coli,ST-131
562.100655,Escherichia coli,ST-69
562.100661,Escherichia coli,ST-69
562.100666,Escherichia coli,ST-10405
562.100669,Escherichia coli,ST-394
562.100675,Escherichia coli,ST-10217
562.100676,Escherichia coli,ST-131
562.100678,Escherichia coli,ST-131
562.100682,Escherichia coli,ST-10
562.100685,Escherichia coli,ST-141
562.100690,Escherichia coli,ST-685
562.100696,Escherichia coli,ST-95
562.100697,Escherichia coli,ST-69
562.100704,Escherichia coli,ST-1193
562.100707,Escherichia coli,ST-131
562.100716,Escherichia coli,ST-73
562.100717,Escherichia coli,ST-73
562.100718,Escherichia coli,ST-95
562.100721,Escherichia coli,ST-648
562.100724,Escherichia coli,ST-3765
562.100728,Escherichia coli,ST-38
562.100734,Escherichia coli,ST-69
562.100761,Escherichia coli,ST-131
562.100763,Escherichia coli,ST-10281
562.100764,Escherichia coli,ST-10215
562.100769,Escherichia coli,ST-6767
562.100772,Escherichia coli,ST-744
562.100786,Escherichia coli,ST-117
562.100788,Escherichia coli,ST-73
562.100794,Escherichia coli,ST-357
562.100804,Escherichia coli,ST-73
562.100808,Escherichia coli,ST-73
